PMID,title,journal,nodeGroup
15356154,Identification of immunodominant sites on the spike protein of severe acute respiratory syndrome (SARS) coronavirus: implication for developing SARS diagnostics and vaccines.,"Journal of immunology (Baltimore, Md. : 1950)",2
32273591,The COVID-19 vaccine development landscape.,Nature reviews. Drug discovery,1
23887981,Mixture models for single-cell assays with applications to vaccine studies.,"Biostatistics (Oxford, England)",2
17499378,Animal models and vaccines for SARS-CoV infection.,Virus research,2
18941225,Prior immunization with severe acute respiratory syndrome (SARS)-associated coronavirus (SARS-CoV) nucleocapsid protein causes severe pneumonia in mice infected with SARS-CoV.,"Journal of immunology (Baltimore, Md. : 1950)",2
19493565,"Safety, immunogenicity, and efficacy of quadrivalent human papillomavirus (types 6, 11, 16, 18) recombinant vaccine in women aged 24-45 years: a randomised, double-blind trial.","Lancet (London, England)",2
11162792,Coronavirus spike proteins in viral entry and pathogenesis.,Virology,2
29409570,"Early season co-circulation of influenza A(H3N2) and B(Yamagata): interim estimates of 2017/18 vaccine effectiveness, Canada, January 2018.",Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin,2
33015650,Cross-Sectional Evaluation of Humoral Responses against SARS-CoV-2 Spike.,Cell reports. Medicine,2
30742894,Novel genetically-modified chimpanzee adenovirus and MVA-vectored respiratory syncytial virus vaccine safely boosts humoral and cellular immunity in healthy older adults.,The Journal of infection,2
12865378,Critically ill patients with severe acute respiratory syndrome.,JAMA,2
33306989,"Safety and efficacy of the ChAdOx1 nCoV-19 vaccine (AZD1222) against SARS-CoV-2: an interim analysis of four randomised controlled trials in Brazil, South Africa, and the UK.","Lancet (London, England)",1
15324552,Mice susceptible to SARS coronavirus.,Emerging infectious diseases,2
22844480,"Matrix-M™ adjuvant induces local recruitment, activation and maturation of central immune cells in absence of antigen.",PloS one,2
25078002,Beyond D-luciferin: expanding the scope of bioluminescence imaging in vivo.,Current opinion in chemical biology,2
24179220,Structure-based design of a fusion glycoprotein vaccine for respiratory syncytial virus.,"Science (New York, N.Y.)",2
28935236,Effectiveness of influenza vaccines in preventing severe influenza illness among adults: A systematic review and meta-analysis of test-negative design case-control studies.,The Journal of infection,2
32214079,"Severe Outcomes Among Patients with Coronavirus Disease 2019 (COVID-19) - United States, February 12-March 16, 2020.",MMWR. Morbidity and mortality weekly report,2
18199635,Structural basis for potent cross-neutralizing human monoclonal antibody protection against lethal human and zoonotic severe acute respiratory syndrome coronavirus challenge.,Journal of virology,2
28585916,"MERS-CoV Antibody Responses 1 Year after Symptom Onset, South Korea, 2015.",Emerging infectious diseases,2
11607032,Recognition of double-stranded RNA and activation of NF-kappaB by Toll-like receptor 3.,Nature,2
29739835,Nucleoside-modified mRNA vaccines induce potent T follicular helper and germinal center B cell responses.,The Journal of experimental medicine,2
22095567,Magnitude of potential biases in a simulated case-control study of the effectiveness of influenza vaccination.,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,1
19888339,A neutralizing human monoclonal antibody protects against lethal disease in a new ferret model of acute nipah virus infection.,PLoS pathogens,2
24066892,Immune senescence and vaccination in the elderly.,Current topics in medicinal chemistry,2
17932806,mRNA-based gene transfer as a tool for gene and cell therapy.,Current opinion in molecular therapeutics,2
32303590,"Comparative pathogenesis of COVID-19, MERS, and SARS in a nonhuman primate model.","Science (New York, N.Y.)",2
25540984,Lipid-based mRNA vaccine delivery systems.,Expert review of vaccines,2
22825819,Seroprevalence of neutralizing antibodies to human adenovirus type 5 in healthy adults in China.,Journal of medical virology,2
20977431,Effects of respiratory syncytial virus infection and major basic protein derived from eosinophils in pulmonary alveolar epithelial cells (A549).,Cell biology international,2
27775012,Comparison of incubation period distribution of human infections with MERS-CoV in South Korea and Saudi Arabia.,Scientific reports,2
31351922,"Safety and immunogenicity of an anti-Middle East respiratory syndrome coronavirus DNA vaccine: a phase 1, open-label, single-arm, dose-escalation trial.",The Lancet. Infectious diseases,2
19420084,Early upregulation of acute respiratory distress syndrome-associated cytokines promotes lethal disease in an aged-mouse model of severe acute respiratory syndrome coronavirus infection.,Journal of virology,2
33034689,"COVID-19 in critical care: epidemiology of the first epidemic wave across England, Wales and Northern Ireland.",Intensive care medicine,2
30102747,Cryo-EM structure of the SARS coronavirus spike glycoprotein in complex with its host cell receptor ACE2.,PLoS pathogens,2
32219057,The SARS-CoV-2 Vaccine Pipeline: an Overview.,Current tropical medicine reports,2
20709108,"Generation of VSV pseudotypes using recombinant ΔG-VSV for studies on virus entry, identification of entry inhibitors, and immune responses to vaccines.",Journal of virological methods,2
17038590,5'-Triphosphate RNA is the ligand for RIG-I.,"Science (New York, N.Y.)",2
15642942,Evasion of antibody neutralization in emerging severe acute respiratory syndrome coronaviruses.,Proceedings of the National Academy of Sciences of the United States of America,2
4284810,Selective chemical modifications of uridine and pseudouridine in polynucleotides and their effect on the specificities of ribonuclease and phosphodiesterases.,Journal of the American Chemical Society,2
19181630,Comparison of histochemical methods for murine eosinophil detection in an RSV vaccine-enhanced inflammation model.,Toxicologic pathology,2
19297479,Differential virological and immunological outcome of severe acute respiratory syndrome coronavirus infection in susceptible and resistant transgenic mice expressing human angiotensin-converting enzyme 2.,Journal of virology,2
32227757,Developing Covid-19 Vaccines at Pandemic Speed.,The New England journal of medicine,1
32191675,WHO Declares COVID-19 a Pandemic.,Acta bio-medica : Atenei Parmensis,2
15205534,Promotion of B cell immune responses via an alum-induced myeloid cell population.,"Science (New York, N.Y.)",2
26552008,A SARS-like cluster of circulating bat coronaviruses shows potential for human emergence.,Nature medicine,2
21762752,Chimeric severe acute respiratory syndrome coronavirus (SARS-CoV) S glycoprotein and influenza matrix 1 efficiently form virus-like particles (VLPs) that protect mice against challenge with SARS-CoV.,Vaccine,2
16039576,Cell type-specific involvement of RIG-I in antiviral response.,Immunity,2
16111635,Suppression of RNA recognition by Toll-like receptors: the impact of nucleoside modification and the evolutionary origin of RNA.,Immunity,2
32015508,A new coronavirus associated with human respiratory disease in China.,Nature,2
18797453,Incorporation of pseudouridine into mRNA yields superior nonimmunogenic vector with increased translational capacity and biological stability.,Molecular therapy : the journal of the American Society of Gene Therapy,1
32540900,Broad neutralization of SARS-related viruses by human monoclonal antibodies.,"Science (New York, N.Y.)",2
16101349,Elicitation of immunity in mice after immunization with the S2 subunit of the severe acute respiratory syndrome coronavirus.,DNA and cell biology,2
17928346,Viral and host factors in human respiratory syncytial virus pathogenesis.,Journal of virology,2
32003551,Transmission of 2019-nCoV Infection from an Asymptomatic Contact in Germany.,The New England journal of medicine,2
18419349,Varicella-zoster virus-specific immune responses in elderly recipients of a herpes zoster vaccine.,The Journal of infectious diseases,2
33139139,NVX-CoV2373 vaccine protects cynomolgus macaque upper and lower airways against SARS-CoV-2 challenge.,Vaccine,1
18438401,A combinatorial library of lipid-like materials for delivery of RNAi therapeutics.,Nature biotechnology,2
12690092,A novel coronavirus associated with severe acute respiratory syndrome.,The New England journal of medicine,2
16505353,Mucosal and systemic adjuvant activity of alphavirus replicon particles.,Proceedings of the National Academy of Sciences of the United States of America,2
8254673,Comparative protein modelling by satisfaction of spatial restraints.,Journal of molecular biology,2
14675530,The secret life of ACE2 as a receptor for the SARS virus.,Cell,2
15078936,Amino acids 270 to 510 of the severe acute respiratory syndrome coronavirus spike protein are required for interaction with receptor.,Journal of virology,2
15655773,Development and characterization of a severe acute respiratory syndrome-associated coronavirus-neutralizing human monoclonal antibody that provides effective immunoprophylaxis in mice.,The Journal of infectious diseases,2
15268662,Messenger RNA-based vaccines.,Expert opinion on biological therapy,2
29513216,"<i>cis</i>TEM, user-friendly software for single-particle image processing.",eLife,2
16732888,Characterization of the ribonuclease activity on the skin surface.,Genetic vaccines and therapy,2
32839763,"SARS-CoV-2-Specific T Cells Exhibit Phenotypic Features of Helper Function, Lack of Terminal Differentiation, and High Proliferation Potential.",Cell reports. Medicine,2
7962541,"Anti-IL-4 treatment at immunization modulates cytokine expression, reduces illness, and increases cytotoxic T lymphocyte activity in mice challenged with respiratory syncytial virus.",The Journal of clinical investigation,2
12730500,Characterization of a novel coronavirus associated with severe acute respiratory syndrome.,"Science (New York, N.Y.)",2
16954221,"Structural basis of neutralization by a human anti-severe acute respiratory syndrome spike protein antibody, 80R.",The Journal of biological chemistry,2
31996437,Receptor Recognition by the Novel Coronavirus from Wuhan: an Analysis Based on Decade-Long Structural Studies of SARS Coronavirus.,Journal of virology,2
18071662,Vaccination with messenger RNA (mRNA).,Handbook of experimental pharmacology,2
9175832,IL-4 rapidly produced by V beta 4 V alpha 8 CD4+ T cells instructs Th2 development and susceptibility to Leishmania major in BALB/c mice.,Immunity,2
12730501,The Genome sequence of the SARS-associated coronavirus.,"Science (New York, N.Y.)",2
15708987,Recombinant modified vaccinia virus Ankara expressing the spike glycoprotein of severe acute respiratory syndrome coronavirus induces protective neutralizing antibodies primarily targeting the receptor binding region.,Journal of virology,2
30356097,Stabilized coronavirus spikes are resistant to conformational changes induced by receptor recognition or proteolysis.,Scientific reports,2
29402578,Influenza vaccine effectiveness in older adults compared with younger adults over five seasons.,Vaccine,2
25832102,Immunogenicity of reduced dose priming schedules of serogroup C meningococcal conjugate vaccine followed by booster at 12 months in infants: open label randomised controlled trial.,BMJ (Clinical research ed.),2
21937658,A double-inactivated severe acute respiratory syndrome coronavirus vaccine provides incomplete protection in mice and induces increased eosinophilic proinflammatory pulmonary response upon challenge.,Journal of virology,1
32375025,Structural Basis for Potent Neutralization of Betacoronaviruses by Single-Domain Camelid Antibodies.,Cell,2
14996844,Structural characterization of the SARS-coronavirus spike S fusion protein core.,The Journal of biological chemistry,2
29326426,mRNA vaccines - a new era in vaccinology.,Nature reviews. Drug discovery,2
15837235,Comparison of single versus booster dose of influenza vaccination on humoral and cellular immune responses in older adults.,Vaccine,2
32507409,"Consensus summary report for CEPI/BC March 12-13, 2020 meeting: Assessment of risk of disease enhancement with COVID-19 vaccines.",Vaccine,2
33217362,"Safety, tolerability, and immunogenicity of an inactivated SARS-CoV-2 vaccine in healthy adults aged 18-59 years: a randomised, double-blind, placebo-controlled, phase 1/2 clinical trial.",The Lancet. Infectious diseases,1
20374001,A 219-mer CHO-expressing receptor-binding domain of SARS-CoV S protein induces potent immune responses and protective immunity.,Viral immunology,2
32789505,Effect of an Inactivated Vaccine Against SARS-CoV-2 on Safety and Immunogenicity Outcomes: Interim Analysis of 2 Randomized Clinical Trials.,JAMA,2
20080679,"Lipid-like materials for low-dose, in vivo gene silencing.",Proceedings of the National Academy of Sciences of the United States of America,2
32539990,A minimal common outcome measure set for COVID-19 clinical research.,The Lancet. Infectious diseases,2
32325038,"Safety and immunogenicity of a candidate Middle East respiratory syndrome coronavirus viral-vectored vaccine: a dose-escalation, open-label, non-randomised, uncontrolled, phase 1 trial.",The Lancet. Infectious diseases,2
20960282,Immunogenicity of the spike glycoprotein of bat SARS-like coronavirus.,Virologica Sinica,2
26921779,"Matrix-M adjuvant enhances antibody, cellular and protective immune responses of a Zaire Ebola/Makona virus glycoprotein (GP) nanoparticle vaccine in mice.",Vaccine,2
14681510,The severe acute respiratory syndrome.,The New England journal of medicine,2
16968120,SARS: systematic review of treatment effects.,PLoS medicine,2
26887309,[Immunological surrogate endpoints to evaluate vaccine efficacy].,Zhonghua yu fang yi xue za zhi [Chinese journal of preventive medicine],2
17194199,Vaccine efficacy in senescent mice challenged with recombinant SARS-CoV bearing epidemic and zoonotic spike variants.,PLoS medicine,2
21890902,"Generating the optimal mRNA for therapy: HPLC purification eliminates immune activation and improves translation of nucleoside-modified, protein-encoding mRNA.",Nucleic acids research,2
27826140,Characterization of anti-MERS-CoV antibodies against various recombinant structural antigens of MERS-CoV in an imported case in China.,Emerging microbes & infections,2
30691364,Structure-Based Vaccine Antigen Design.,Annual review of medicine,2
12748314,SARS-associated coronavirus.,The New England journal of medicine,2
32778225,"Development of an Inactivated Vaccine Candidate, BBIBP-CorV, with Potent Protection against SARS-CoV-2.",Cell,2
14729660,mRNA is an endogenous ligand for Toll-like receptor 3.,The Journal of biological chemistry,2
15194770,Identification of an antigenic determinant on the S2 domain of the severe acute respiratory syndrome coronavirus spike glycoprotein capable of inducing neutralizing antibodies.,Journal of virology,2
18991332,Inference by eye: reading the overlap of independent confidence intervals.,Statistics in medicine,2
15547138,Activation of the protein kinase PKR by short double-stranded RNAs with single-stranded tails.,"RNA (New York, N.Y.)",2
25697739,Clinical effectiveness of split-virion versus subunit trivalent influenza vaccines in older adults.,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,2
28536429,A novel neutralizing monoclonal antibody targeting the N-terminal domain of the MERS-CoV spike protein.,Emerging microbes & infections,2
22536382,Immunization with SARS coronavirus vaccines leads to pulmonary immunopathology on challenge with the SARS virus.,PloS one,1
31534041,The 3.1-Angstrom Cryo-electron Microscopy Structure of the Porcine Epidemic Diarrhea Virus Spike Protein in the Prefusion Conformation.,Journal of virology,2
20303868,Asthma and allergic inflammation.,Cell,2
21325420,Evidence that TMPRSS2 activates the severe acute respiratory syndrome coronavirus spike protein for membrane fusion and reduces viral control by the humoral immune response.,Journal of virology,2
11121305,Leginon: an automated system for acquisition of images from vitreous ice specimens.,Journal of structural biology,2
28636855,Efficacy of Recombinant Influenza Vaccine in Adults 50 Years of Age or Older.,The New England journal of medicine,2
27269431,Immunization with inactivated Middle East Respiratory Syndrome coronavirus vaccine leads to lung immunopathology on challenge with live virus.,Human vaccines & immunotherapeutics,1
19176631,"Alphavirus-adjuvanted norovirus-like particle vaccines: heterologous, humoral, and mucosal immune responses protect against murine norovirus challenge.",Journal of virology,2
32792628,A high-throughput neutralizing antibody assay for COVID-19 diagnosis and vaccine evaluation.,Nature communications,2
32540903,Isolation of potent SARS-CoV-2 neutralizing antibodies and protection from disease in a small animal model.,"Science (New York, N.Y.)",2
15220033,Mucosal immunisation of African green monkeys (Cercopithecus aethiops) with an attenuated parainfluenza virus expressing the SARS coronavirus spike protein for the prevention of SARS.,"Lancet (London, England)",2
17021110,Age dependence of adenovirus-specific neutralizing antibody titers in individuals from sub-Saharan Africa.,Journal of clinical microbiology,2
17620608,Potent cross-reactive neutralization of SARS coronavirus isolates by human monoclonal antibodies.,Proceedings of the National Academy of Sciences of the United States of America,2
32007143,"Epidemiological and clinical characteristics of 99 cases of 2019 novel coronavirus pneumonia in Wuhan, China: a descriptive study.","Lancet (London, England)",2
16597622,Structure of severe acute respiratory syndrome coronavirus receptor-binding domain complexed with neutralizing antibody.,The Journal of biological chemistry,2
15577937,Severe acute respiratory syndrome.,Nature medicine,2
17515642,Formalin-treated UV-inactivated SARS coronavirus vaccine retains its immunogenicity and promotes Th2-type immune responses.,Japanese journal of infectious diseases,2
16129869,A global clinical measure of fitness and frailty in elderly people.,CMAJ : Canadian Medical Association journal = journal de l'Association medicale canadienne,2
19609242,Direct injection of protamine-protected mRNA: results of a phase 1/2 vaccination trial in metastatic melanoma patients.,"Journal of immunotherapy (Hagerstown, Md. : 1997)",2
32726528,Single-Dose Nirsevimab for Prevention of RSV in Preterm Infants.,The New England journal of medicine,2
12393927,PHENIX: building new software for automated crystallographic structure determination.,"Acta crystallographica. Section D, Biological crystallography",2
32702298,"Safety and immunogenicity of the ChAdOx1 nCoV-19 vaccine against SARS-CoV-2: a preliminary report of a phase 1/2, single-blind, randomised controlled trial.","Lancet (London, England)",1
22032844,Efficacy and effectiveness of influenza vaccines: a systematic review and meta-analysis.,The Lancet. Infectious diseases,1
17108024,"Severe acute respiratory syndrome coronavirus open reading frame (ORF) 3b, ORF 6, and nucleocapsid proteins function as interferon antagonists.",Journal of virology,2
17108019,Severe acute respiratory syndrome coronavirus infection of mice transgenic for the human Angiotensin-converting enzyme 2 virus receptor.,Journal of virology,2
8522182,The tobacco etch viral 5' leader and poly(A) tail are functionally synergistic regulators of translation.,Gene,2
24040512,Collaboration gets the most out of software.,eLife,2
32075877,Cryo-EM structure of the 2019-nCoV spike in the prefusion conformation.,"Science (New York, N.Y.)",1
31079849,mRNA vaccines against H10N8 and H7N9 influenza viruses of pandemic potential are immunogenic and well tolerated in healthy adults in phase 1 randomized clinical trials.,Vaccine,2
29471464,"Poor Immunogenicity, Not Vaccine Strain Egg Adaptation, May Explain the Low H3N2 Influenza Vaccine Effectiveness in 2012-2013.",Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,2
31504163,Automatic local resolution-based sharpening of cryo-EM maps.,"Bioinformatics (Oxford, England)",2
15791205,Receptor and viral determinants of SARS-coronavirus adaptation to human ACE2.,The EMBO journal,2
18463152,A live attenuated severe acute respiratory syndrome coronavirus is immunogenic and efficacious in golden Syrian hamsters.,Journal of virology,2
30830861,Anti-spike IgG causes severe acute lung injury by skewing macrophage responses during acute SARS-CoV infection.,JCI insight,2
32512579,Estimating the effects of non-pharmaceutical interventions on COVID-19 in Europe.,Nature,2
26107625,Microneutralization assay titres correlate with protection against seasonal influenza H1N1 and H3N2 in children.,PloS one,2
30938227,Towards a solution to MERS: protective human monoclonal antibodies targeting different domains and functions of the MERS-coronavirus spike glycoprotein.,Emerging microbes & infections,2
32756549,SARS-CoV-2 mRNA vaccine design enabled by prototype pathogen preparedness.,Nature,1
10918485,Sodium phosphate enhances plasmid DNA expression in vivo.,Gene therapy,2
15024391,A DNA vaccine induces SARS coronavirus neutralization and protective immunity in mice.,Nature,2
15096554,Antibody response and viraemia during the course of severe acute respiratory syndrome (SARS)-associated coronavirus infection.,Journal of medical microbiology,2
26446606,Characterization and Demonstration of the Value of a Lethal Mouse Model of Middle East Respiratory Syndrome Coronavirus Infection and Disease.,Journal of virology,2
31096710,Safety and Immunogenicity of a Novel Recombinant Simian Adenovirus ChAdOx2 as a Vectored Vaccine.,Vaccines,2
32454512,A human neutralizing antibody targets the receptor-binding site of SARS-CoV-2.,Nature,2
16731915,Antigenic and immunogenic characterization of recombinant baculovirus-expressed severe acute respiratory syndrome coronavirus spike protein: implication for vaccine design.,Journal of virology,1
23159882,"Protective efficacy of in vitro synthesized, specific mRNA vaccines against influenza A virus infection.",Nature biotechnology,2
9143688,Neutralizing antiviral B cell responses.,Annual review of immunology,2
12927681,Purine and pyrimidine metabolites in children's urine.,Clinica chimica acta; international journal of clinical chemistry,2
12574374,IL-13 is sufficient for respiratory syncytial virus G glycoprotein-induced eosinophilia after respiratory syncytial virus challenge.,"Journal of immunology (Baltimore, Md. : 1950)",2
16497416,A recombinant baculovirus-expressed S glycoprotein vaccine elicits high titers of SARS-associated coronavirus (SARS-CoV) neutralizing antibodies in mice.,Vaccine,2
24667168,Low 2012-13 influenza vaccine effectiveness associated with mutation in the egg-adapted H3N2 vaccine strain not antigenic drift in circulating viruses.,PloS one,2
28428558,"A joint analysis of influenza-associated hospitalizations and mortality in Hong Kong, 1998-2013.",Scientific reports,2
32532802,The impact of COVID-19 and strategies for mitigation and suppression in low- and middle-income countries.,"Science (New York, N.Y.)",2
32376603,Development of an inactivated vaccine candidate for SARS-CoV-2.,"Science (New York, N.Y.)",2
20876821,How innate immune mechanisms contribute to antibody-enhanced viral infections.,Clinical and vaccine immunology : CVI,2
29336703,Establishing Correlates of Protection for Vaccine Development: Considerations for the Respiratory Syncytial Virus Vaccine Field.,Viral immunology,2
16670345,T cell responses are better correlates of vaccine protection in the elderly.,"Journal of immunology (Baltimore, Md. : 1950)",2
9814710,"Structure of the hemagglutinin precursor cleavage site, a determinant of influenza pathogenicity and the origin of the labile conformation.",Cell,2
9518670,Phosphate-enhanced transfection of cationic lipid-complexed mRNA and plasmid DNA.,Biochimica et biophysica acta,2